Fecha,Región,Producto,Categoría,Laboratorio,Canal,Vendedor,Unidades,PrecioUnitario,Ventas,Inventario
2025-03-01,Bucaramanga,Amoxicilina Sandoz,Vitaminas,Pfizer,Hospital,Sofía Ríos,5,3849.41,19247.05,493
2025-03-01,Barranquilla,Loratadina Pfizer,Analgésico,MK,Hospital,Camila Castro,12,8343.88,100126.56,239
2025-03-01,Manizales,Acetaminofén MK,Antiinflamatorio,Sandoz,Distribuidor,Camila Castro,13,2591.58,33690.54,389
2025-03-01,Bucaramanga,Omeprazol Genfar,Antiinflamatorio,Sandoz,Clínica,Sofía Ríos,4,22869.03,91476.12,240
2025-03-01,Barranquilla,Gripadol,Antigripal,MK,Hospital,Juan Méndez,11,15550.65,171057.15,345
2025-03-01,Medellín,Loratadina Pfizer,Vitaminas,Pfizer,Farmacia,Luis Martínez,3,9883.7,29651.100000000002,376
2025-03-01,Barranquilla,Azitromicina MK,Analgésico,Sandoz,Distribuidor,Sofía Ríos,6,18111.15,108666.90000000001,456
2025-03-01,Cali,Amoxicilina Sandoz,Vitaminas,Sandoz,Distribuidor,David Torres,16,22349.5,357592.0,408
2025-03-01,Medellín,Azitromicina MK,Antigripal,Sandoz,Farmacia,Sofía Ríos,7,2238.59,15670.130000000001,135
2025-03-01,Bucaramanga,Gripadol,Antigripal,MK,Farmacia,Paula Díaz,21,21979.32,461565.72,397
2025-03-01,Bogotá,Azitromicina MK,Analgésico,Genfar,Clínica,Camila Castro,15,20723.35,310850.25,214
2025-03-01,Medellín,Doloran Forte,Antibiótico,Sandoz,Distribuidor,David Torres,5,6640.96,33204.8,489
2025-03-01,Bogotá,Doloran Forte,Antibiótico,MK,Hospital,David Torres,5,2276.69,11383.45,488
2025-03-01,Bogotá,Amoxicilina Sandoz,Antibiótico,Pfizer,Hospital,Luis Martínez,11,12552.06,138072.66,466
2025-03-01,Bogotá,Amoxicilina Sandoz,Antigripal,Pfizer,Distribuidor,Camila Castro,10,4166.63,41666.3,148
2025-03-01,Barranquilla,Acetaminofén MK,Antibiótico,Sandoz,Hospital,Luis Martínez,12,22362.6,268351.19999999995,447
2025-03-01,Manizales,Loratadina Pfizer,Antiinflamatorio,Pfizer,Farmacia,Laura López,12,14249.7,170996.40000000002,241
2025-03-01,Barranquilla,Doloran Forte,Analgésico,Sandoz,Hospital,Paula Díaz,7,22262.11,155834.77000000002,372
2025-03-01,Medellín,Gripadol,Analgésico,Pfizer,Hospital,Jorge Ruiz,3,23355.4,70066.20000000001,435
2025-03-01,Bogotá,Diclofenaco Pfizer,Analgésico,Genfar,Clínica,David Torres,8,9948.04,79584.32,449
2025-03-01,Medellín,Acetaminofén MK,Antiinflamatorio,MK,Distribuidor,Ana Gómez,4,17292.61,69170.44,219
2025-03-01,Barranquilla,Vitamina C MK,Antibiótico,Genfar,Farmacia,Luis Martínez,2,19594.85,39189.7,421
2025-03-01,Bucaramanga,Acetaminofén MK,Antiinflamatorio,MK,Distribuidor,Jorge Ruiz,14,9089.48,127252.72,278
2025-03-01,Cartagena,Diclofenaco Pfizer,Vitaminas,Pfizer,Clínica,Camila Castro,3,17679.75,53039.25,138
